Hospital_ID,Hospital_Name,Hopsital_Latitude,Hospital_Longitude
ID-HMH,Houston Methodist Hospital,29.709541,-95.398605
ID-JHH,Johns Hopkins Hospital,39.296318,-76.592941
ID-UCLAMC,UCLA Medical Center,34.066242,-118.445328
ID-MC,Mayo Clinic,44.022705,-92.467369
ID-CC,Cleveland Clinic,41.503201,-81.621277
ID-NMH,Northwestern Memorial Hospital,41.89457,-87.62141
ID-NYPH,NewYork-Presbyterian Hospital,40.76473,-73.95394
ID-CSMC,Cedars-Sinai Medical Center,34.075198,-118.380676
ID-UCSFMC,UCSF Medical Center,37.7579,-122.455
ID-MGH,Massachusetts General Hospital,42.3624,-71.069206
